location_id,latitude,longitude,event_time,pm25,temperature,humidity
8118,28.63576,77.22445,2025-01-15T02:30:00.000Z,291.0,30.0,31.0
8118,28.63576,77.22445,2025-01-06T18:30:00.000Z,100.25404591644713,25.0,36.0
8118,28.63576,77.22445,2025-01-07T15:30:00.000Z,100.25404591644713,27.0,67.0
8118,28.63576,77.22445,2025-01-14T18:30:00.000Z,280.0,27.0,59.0
8118,28.63576,77.22445,2025-01-07T02:30:00.000Z,100.25404591644713,22.0,79.0
8118,28.63576,77.22445,2025-01-02T17:30:00.000Z,210.0,20.0,73.0
8118,28.63576,77.22445,2025-01-05T18:30:00.000Z,100.25404591644713,23.0,40.0
8118,28.63576,77.22445,2025-01-02T05:30:00.000Z,204.0,30.0,37.0
8118,28.63576,77.22445,2025-01-03T17:30:00.000Z,352.0,20.0,54.0
8118,28.63576,77.22445,2025-01-15T09:30:00.000Z,233.0,20.0,34.0
8118,28.63576,77.22445,2025-01-06T17:30:00.000Z,100.25404591644713,30.0,38.0
8118,28.63576,77.22445,2025-01-06T14:30:00.000Z,100.25404591644713,21.0,68.0
8118,28.63576,77.22445,2025-01-06T12:30:00.000Z,100.25404591644713,33.0,65.0
8118,28.63576,77.22445,2025-01-05T02:30:00.000Z,100.25404591644713,24.0,68.0
8118,28.63576,77.22445,2025-01-01T02:30:00.000Z,165.0,25.0,78.0
8118,28.63576,77.22445,2025-01-01T03:30:00.000Z,154.0,33.0,30.0
8118,28.63576,77.22445,2025-01-10T17:30:00.000Z,290.0,29.0,54.0
8118,28.63576,77.22445,2025-01-05T23:30:00.000Z,100.25404591644713,34.0,59.0
8118,28.63576,77.22445,2025-01-03T05:30:00.000Z,258.0,21.0,55.0
8118,28.63576,77.22445,2025-01-05T00:30:00.000Z,100.25404591644713,30.0,30.0
8118,28.63576,77.22445,2025-01-06T20:30:00.000Z,100.25404591644713,26.0,58.0
8118,28.63576,77.22445,2025-01-06T00:30:00.000Z,100.25404591644713,34.0,49.0
8118,28.63576,77.22445,2025-01-10T10:30:00.000Z,199.0,26.0,32.0
8118,28.63576,77.22445,2025-01-04T16:30:00.000Z,323.0,32.0,31.0
8118,28.63576,77.22445,2025-01-09T17:30:00.000Z,339.0,24.0,64.0
