location_id,latitude,longitude,event_time,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore,rolling_pm25_avg,pm25_lag1,temperature_lag1,humidity_lag1,pm25_rate_change,temperature_rate_change,humidity_rate_change,AQI_Category
8118,28.63576,77.22445,2024-12-31T14:30:00.000-05:00,371.0,22.0,51.0,4.044521678480874,-1.212315624037105,-0.25350033449866194,371.0,,,,,,,Unhealthy
8118,28.63576,77.22445,2024-12-31T15:30:00.000-05:00,343.0,32.0,46.0,3.6262454114142337,0.9627258681714873,-0.5858867154899213,357.0,371.0,22.0,51.0,-28.0,10.0,-5.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T16:30:00.000-05:00,286.0,33.0,47.0,2.7747544391714305,1.1802300173923466,-0.5194094392916695,333.33,343.0,32.0,46.0,-57.0,1.0,1.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T17:30:00.000-05:00,204.0,24.0,53.0,1.5498025141905556,-0.7773073255953864,-0.12054578210215815,277.67,286.0,33.0,47.0,-82.0,-9.0,6.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T18:30:00.000-05:00,187.0,23.0,68.0,1.2958490663286668,-0.9948114748162457,0.8766133608716202,225.67,204.0,24.0,53.0,-17.0,-1.0,15.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T19:30:00.000-05:00,189.0,35.0,64.0,1.3257259425477126,1.6152383158340649,0.6107042560786127,193.33,187.0,23.0,68.0,2.0,12.0,-4.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T20:30:00.000-05:00,185.0,25.0,59.0,1.265972190109621,-0.5598031763745273,0.2783178750873532,187.0,189.0,35.0,64.0,-4.0,-10.0,-5.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T21:30:00.000-05:00,165.0,29.0,50.0,0.9672034279191638,0.31021342050890965,-0.31997761069691383,179.67,185.0,25.0,59.0,-20.0,4.0,-9.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T22:30:00.000-05:00,154.0,24.0,67.0,0.8028806087144124,-0.7773073255953864,0.8101360846733683,168.0,165.0,29.0,50.0,-11.0,-5.0,17.0,Unhealthy
8118,28.63576,77.22445,2024-12-31T23:30:00.000-05:00,170.0,29.0,62.0,1.0418956184667783,0.31021342050890965,0.47774970368210884,163.0,154.0,24.0,67.0,16.0,5.0,-5.0,Unhealthy
